T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
24,60,12,65,7,38,61,18,63,69
14,56,13,62,8,37,10,7,66,72
57,59,8,63,16,34,58,19,64,73
57,64,73,58,14,15,18,13,63,67
42,59,15,63,13,27,54,23,63,65
16,55,27,62,21,79,20,12,73,80
52,54,54,53,53,54,52,47,47,
0,0,100,0,100,0,0,0,0,23
0,0,0,0,0,0,0,0,62,81
0,78,40,57,0,68,0,24,53,77
0,0,0,0,0,0,0,0,21,89
0,100,79,100,0,0,0,0,100,78
0,20,0,100,0,0,0,0,100,20
0,0,100,83,13,0,76,58,75,64
0,100,76,34,0,100,0,66,84,31
0,0,100,10,83,0,0,9,56,83
0,0,100,0,100,0,0,0,7,2
0,0,0,0,0,0,0,0,73,77
0,100,23,55,0,80,0,0,78,79
0,0,0,0,0,0,0,0,79,80
0,67,100,18,46,39,0,76,82,53
0,62,100,83,0,91,0,0,69,93
71,0,78,64,92,99,0,23,30,76
1,76,22,52,0,100,0,2,74,100
0,100,77,0,0,100,0,0,31,19
0,0,81,34,33,7,0,0,59,78
0,68,100,0,100,22,0,75,0,83
62,74,25,51,0,100,0,0,56,95
0,0,6,23,0,0,0,0,75,75
0,0,0,0,0,0,0,0,58,58
0,0,58,59,4,0,0,0,71,72
0,0,0,78,0,0,0,0,75,79
0,100,19,55,0,53,0,12,79,78
0,0,0,45,0,0,0,1,75,74
99,0,81,23,52,0,22,20,76,83
0,0,19,22,1,0,0,52,77,98
0,0,11,47,0,0,3,0,78,79
0,0,0,5,0,0,22,0,79,78
30,0,0,20,0,0,0,20,78,100
14,0,0,22,0,0,0,0,76,100
20,76,0,71,0,0,45,0,77,100
100,92,0,51,0,0,0,0,71,100
100,0,0,64,0,0,0,0,71,88
100,100,3,77,0,0,20,0,69,99
0,69,82,49,0,0,0,0,56,100
0,100,18,70,0,0,0,0,85,60
0,100,26,78,0,0,0,0,76,100
0,1,0,30,72,0,0,0,54,100
100,100,0,0,100,0,0,0,41,100
77,1,0,20,36,0,0,0,57,100
100,0,18,78,0,0,0,0,75,100
100,0,4,76,0,0,0,0,57,100
54,27,0,22,65,0,0,0,56,100
0,0,0,23,18,6,0,0,63,100
0,100,0,68,0,0,0,0,64,100
43,0,0,77,0,0,0,0,61,100
0,80,29,43,0,70,0,0,66,98
15,100,0,18,78,0,13,0,58,100
0,0,0,12,0,0,0,0,81,100
0,100,100,70,0,0,0,0,75,100
100,0,0,100,0,100,100,0,100,100
0,0,100,100,0,0,0,0,100,100
0,0,0,0,0,100,0,0,0,100
0,0,100,100,0,100,100,0,100,100
100,0,100,0,0,96,100,100,0,0
99,0,100,99,0,100,100,0,100,99
100,0,100,100,100,100,100,0,100,98
0,0,100,100,0,100,100,0,100,100
100,0,100,100,0,0,100,0,99,100
97,0,100,100,0,100,0,0,92,100
100,0,100,99,0,100,100,0,94,100
100,0,100,100,0,100,100,0,98,87
0,0,100,97,95,92,80,0,100,100
0,4,100,0,0,0,100,0,0,0
100,0,99,98,100,99,94,0,99,100
85,0,89,96,0,94,0,0,93,95
100,0,100,99,0,100,93,0,98,100
0,0,94,92,0,89,97,0,0,100
0,0,93,93,0,100,81,0,91,90
50,51,0,52,0,100,0,0,34,100
0,0,52,80,0,0,0,0,56,100
0,100,0,100,0,0,60,0,84,100
66,68,0,34,55,0,0,0,70,93
0,100,76,51,0,0,0,0,85,82
0,100,50,100,0,0,0,0,84,100
0,50,0,100,0,0,0,0,87,100
0,0,0,0,0,0,0,0,89,100
100,0,0,100,0,100,0,0,89,100
0,100,0,100,0,0,0,0,86,100
81,78,0,49,0,0,0,0,84,100
52,50,0,13,74,0,0,0,28,100
0,0,0,0,68,0,0,0,0,100
51,50,0,100,0,0,0,0,84,100
0,100,83,100,0,0,0,0,89,100
0,72,0,100,0,0,0,0,91,100
0,100,82,82,0,0,0,0,89,100
100,0,0,100,0,0,88,0,100,100
51,49,0,80,0,100,0,0,80,100
0,100,0,84,0,0,0,0,89,100
0,100,77,90,0,0,0,0,90,100
0,0,100,50,0,94,0,0,81,100
100,0,0,85,0,0,87,0,87,100
0,0,0,100,0,51,0,0,84,100
0,100,0,74,0,0,0,0,78,100
0,100,0,85,0,49,0,0,92,100
0,100,0,37,0,0,0,0,78,100
0,100,0,87,0,16,0,0,88,100
52,100,0,90,0,0,0,0,86,100
100,0,0,100,0,0,0,0,90,100
86,87,0,100,0,0,0,0,89,100
100,0,0,87,0,0,0,0,88,100
0,61,0,75,0,14,57,0,86,100
0,0,0,9,59,0,0,0,22,
31,76,0,66,0,0,0,0,71,100
48,52,37,76,0,94,100,0,50,50
92,85,0,0,89,21,84,49,14,49
74,71,99,48,49,52,17,2,50,48
0,88,99,26,48,69,51,2,54,79
97,2,98,18,28,48,83,48,31,51
90,88,7,93,0,51,95,77,81,21
13,100,22,100,99,16,95,5,85,50
10,13,89,85,13,52,74,6,84,23
50,50,71,72,50,77,49,50,66,52
48,81,88,85,0,74,63,12,1,75
54,78,76,63,2,74,64,11,42,39
50,49,26,48,29,76,62,12,71,49
24,74,74,70,49,,68,5,68,52
19,50,8,49,15,76,49,11,58,50
49,50,48,59,9,64,57,0,74,49
50,50,49,78,24,77,76,53,90,51
50,100,100,37,72,28,100,11,48,51
49,74,78,23,82,100,67,85,48,25
64,96,59,50,49,51,53,49,51,52
52,100,89,68,32,98,75,0,,51
49,47,48,67,22,61,49,50,69,50
49,89,50,53,2,68,82,52,74,51
50,78,82,76,14,50,83,9,84,49
50,50,71,71,8,92,73,5,65,50
47,50,48,69,12,50,51,19,70,50
49,89,66,64,0,90,65,0,65,49
33,62,59,63,34,60,57,36,63,57
1,6,7,63,15,8,22,11,57,86
15,15,27,100,15,16,17,20,67,68
0,64,60,61,2,5,0,12,59,90
95,83,85,16,61,57,37,34,28,50
71,70,76,32,35,61,58,37,49,70
0,78,60,49,48,75,54,59,50,48
78,68,50,63,43,64,53,54,49,44
0,52,2,41,31,52,48,10,50,66
54,66,86,86,40,63,68,27,66,70
0,93,67,99,0,0,0,9,92,95
15,49,78,100,10,12,2,11,92,82
99,48,100,100,16,3,51,0,95,87
0,10,0,64,14,21,0,5,50,51
80,38,76,35,63,64,31,16,51,49
68,69,71,82,33,62,5,30,65,68
85,26,49,37,35,59,39,38,50,50
77,50,32,17,59,65,52,19,44,31
85,54,79,35,64,18,36,71,49,50
81,71,41,55,31,61,58,23,49,66
69,63,66,60,27,63,14,28,56,49
64,70,79,49,50,86,50,30,49,82
50,48,48,17,26,72,50,10,51,49
40,45,42,22,40,23,24,1,50,58
2,81,71,51,49,71,26,16,58,78
54,54,72,64,30,82,62,24,63,51
72,57,71,59,23,58,38,17,71,48
31,71,55,62,30,66,35,22,63,49
64,34,51,85,9,59,50,9,58,53
72,70,71,88,13,66,34,13,61,57
49,88,78,58,23,68,54,4,51,52
49,47,32,64,26,66,50,19,71,50
49,51,50,66,22,66,49,25,55,78
77,58,49,52,12,66,52,26,54,79
74,50,52,72,28,54,30,10,61,80
23,20,48,48,9,50,51,22,50,73
29,77,67,60,26,65,46,6,49,48
51,64,71,49,20,74,49,14,50,51
71,50,71,48,38,72,51,11,49,53
50,80,80,56,29,65,50,18,50,73
84,50,81,60,32,81,51,9,66,57
6,56,73,52,22,64,51,15,50,76
61,86,82,55,66,75,42,14,50,72
20,77,47,53,28,72,51,22,50,64
50,77,82,50,21,66,49,16,56,78
76,79,80,64,29,71,56,9,56,84
1,1,50,49,20,49,49,8,60,64
51,70,60,69,23,64,50,13,80,91
49,50,51,70,24,51,52,23,61,80
64,50,86,64,12,75,52,10,61,71
77,72,33,54,14,67,49,16,61,71
28,72,82,54,8,70,45,14,70,71
0,100,100,61,17,72,10,6,56,60
14,34,39,62,38,61,40,42,59,57
37,34,49,59,35,40,42,37,59,60
52,65,59,43,48,51,44,44,53,55
42,42,43,33,41,35,37,41,44,42
35,64,56,47,50,49,50,32,46,71
43,58,56,55,41,41,41,40,49,71
50,79,47,64,10,73,27,23,67,50
42,46,45,59,40,14,36,18,63,58
47,63,62,53,41,38,52,21,52,51
66,59,46,67,25,26,32,24,58,57
51,58,62,59,13,16,31,45,62,57
32,60,60,57,2,32,30,32,56,57
36,65,59,55,22,28,30,19,51,52
36,43,64,60,37,22,36,35,60,58
50,58,58,39,37,19,58,27,41,55
33,66,37,40,18,24,27,30,42,66
64,25,53,65,27,20,32,41,67,61
62,60,64,62,11,21,33,34,57,60
45,60,62,63,10,26,26,28,63,60
65,63,68,43,30,26,69,25,41,59
36,70,67,62,29,50,36,30,59,57
36,52,60,58,26,72,50,49,56,43
32,64,63,33,28,49,52,33,40,57
42,51,56,52,26,65,54,40,57,48
37,45,61,60,16,36,41,39,41,57
64,34,63,65,36,64,65,34,67,63
36,63,68,63,65,66,71,27,71,69
20,28,40,58,37,65,36,38,59,59
51,52,18,50,50,52,65,50,66,61
49,47,65,65,62,48,44,53,52,48
48,42,68,61,50,48,53,39,59,60
62,59,60,64,59,59,63,40,59,60
48,51,69,70,66,65,66,52,50,61
61,45,64,81,54,50,50,62,41,56
39,54,43,57,42,44,54,53,50,49
25,32,59,61,51,45,39,35,66,49
57,54,74,62,47,40,42,53,78,61
57,44,70,67,50,48,49,51,81,56
48,46,54,80,51,37,49,48,61,49
48,42,44,48,42,43,47,50,82,38
52,54,75,74,52,49,51,51,84,50
51,49,48,52,47,49,50,50,91,54
39,48,63,59,54,46,57,50,86,61
50,51,81,69,58,42,39,54,84,60
49,30,66,75,38,61,49,35,87,70
46,33,64,80,48,52,49,46,79,51
49,48,49,76,45,56,68,29,73,73
41,55,78,74,57,40,45,54,83,61
51,51,75,67,43,47,44,46,81,48
52,52,78,60,47,52,47,52,73,57
45,49,76,75,55,46,54,57,79,59
40,53,77,72,45,50,44,50,77,53
48,48,43,80,47,36,51,42,76,51
51,53,67,68,50,55,50,51,58,49
51,52,72,72,58,52,51,52,79,44
37,56,74,70,48,50,46,52,77,53
50,45,75,64,45,48,54,43,76,62
44,38,70,76,57,62,50,61,72,65
35,40,79,76,51,52,47,43,81,74
47,44,74,72,50,53,42,53,75,52
19,39,64,58,54,49,49,53,69,51
53,56,54,81,53,53,58,56,80,56
47,50,75,71,52,67,59,50,78,42
54,43,52,70,64,50,52,44,74,54
51,45,79,68,56,44,46,61,80,51
46,52,79,48,51,58,55,51,46,50
53,50,76,43,49,48,47,46,52,53
43,41,88,71,51,56,52,47,75,44
52,48,50,72,49,49,58,56,71,53
45,49,43,78,50,53,46,43,69,49
47,58,77,64,51,50,53,44,81,49
52,44,47,73,41,44,48,56,76,69
44,33,66,64,42,67,47,50,73,65
54,43,75,70,52,45,48,51,75,53
48,52,60,70,35,47,49,54,76,56
18,21,65,73,55,38,34,32,66,66
44,37,66,65,34,61,52,48,68,45
29,32,77,67,51,63,45,30,73,50
